"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1815","full-size link points to correct URL","main","2026-03-10","passed","2026-03-10","Photo flows > photo detail","photos.spec.ts","",""
"","836","goes to photo by click","main","2026-03-10","passed","2026-03-10","Photo flows > unauthenticated user","photos.spec.ts","",""
"","1658","goes to photo by click","main","2026-03-10","passed","2026-03-10","Photo flows > authenticated user","photos.spec.ts","",""
"","816","fails to open upload photo page","main","2026-03-10","passed","2026-03-10","Photo flows > unauthenticated user","photos.spec.ts","",""
"","2","shows error on invalid credentials","main","2026-03-10","skipped","2026-03-10","Login flow","auth.spec.ts","",""
"","1408","deletes photo","main","2026-03-10","passed","2026-03-10","Photo flows > authenticated user","photos.spec.ts","",""
"","1897","fails to open private photo by direct link","main","2026-03-10","passed","2026-03-10","Photo flows > unauthenticated user","photos.spec.ts","",""
"","6549","views photo gallery","main","2026-03-10","passed","2026-03-10","Photo flows > unauthenticated user","photos.spec.ts","",""
"","1135","opens private photo","main","2026-03-10","passed","2026-03-10","Photo flows > authenticated user","photos.spec.ts","",""
"","1312","edits photo","main","2026-03-10","passed","2026-03-10","Photo flows > authenticated user","photos.spec.ts","",""
"","712","photo detail without metadata hides date and tags","main","2026-03-10","passed","2026-03-10","Photo flows > photo detail","photos.spec.ts","",""
"","758","uploads photo","main","2026-03-10","passed","2026-03-10","Photo flows > authenticated user","photos.spec.ts","",""
"","954","photo detail shows date and tags","main","2026-03-10","passed","2026-03-10","Photo flows > photo detail","photos.spec.ts","",""
"","1045","filters by tag","main","2026-03-10","passed","2026-03-10","Photo flows > search and filter","photos.spec.ts","",""
"","5614","cache lifecycle: response cache and urlCache","cache","2026-03-10","passed","2026-03-10","Photo gallery caching","photos-cache.spec.ts","",""
"","0","redirects to home on successful login and logs out","main","2026-03-10","skipped","2026-03-10","Login flow","auth.spec.ts","",""
"","960","filters by country","main","2026-03-10","passed","2026-03-10","Photo flows > search and filter","photos.spec.ts","",""
"","1027","filters by non-existent tag shows empty gallery","main","2026-03-10","passed","2026-03-10","Photo flows > search and filter","photos.spec.ts","",""
"","1204","views photo gallery","main","2026-03-10","passed","2026-03-10","Photo flows > authenticated user","photos.spec.ts","",""
